sampleID;cortisol
T10-1-4;1.973
T10-1-5;8.322
T10-2-2;3.400
T10-2-3;49.149
T11-1-5;2.466
T11-1-6;0.595
T11-2-4;0.000
T11-2-6;54.149
T12-1-5;1.494
T12-1-6;4.821
T12-2-5;1.135
T12-2-6;6.098
T13-1-1;4.390
T13-1-2;25.833
T13-2-2;2.029
T13-2-4;57.170
T14-1-3;5.390
T14-1-4;0.000
T14-2-2;2.497
T14-2-3;7.308
T15-1-3;26.603
T15-1-6;22.065
T16-1-5;8.793
T16-1-6;19.869
T16-2-5;0.736
T16-2-6;17.409
T17-1-3;0.000
T17-1-4;0.981
T17-2-3;0.000
T17-2-4;6.271
T18-1-5;16.689
T18-1-6;55.811
T18-2-5;2.785
T18-2-6;24.163
T19-1-4;1.237
T19-1-5;14.952
T19-2-5;0.339
T19-2-6;11.644
T21-1-1;13.173
T21-1-3;2.955
T21-2-4;0.601
T21-2-5;12.615
T22-1-2;0.000
T22-1-4;0.000
T22-2-3;5.849
T22-2-4;0.184
T23-1-5;17.716
T23-1-6;54.258
T23-2-5;0.000
T23-2-6;19.670
T24-1-4;4.266
T24-1-5;19.449
T24-2-3;4.903
T24-2-4;64.346
T26-1-3;9.139
T26-1-4;26.556
T26-2-5;12.002
T26-2-6;17.586
T29-1-4;1.765
T29-1-6;0.036
T29-2-2;26.571
T29-2-4;107.957
T31-1-3;4.222
T31-1-4;27.291
T31-2-5;32.847
T31-2-6;13.800
T33-1-3;2.582
T33-1-4;58.678
T33-2-3;1.305
T33-2-4;103.775
T34-1-5;0.000
T34-1-6;10.742
T34-2-5;4.810
T34-2-6;3.505
T35-1-3;16.816
T35-1-4;15.604
T35-2-3;3.967
T35-2-4;26.082
T37-1-4;5.006
T37-1-5;1.545
T37-2-5;11.762
T37-2-6;50.858
T38-1-4;0.000
T38-1-6;0.006
T38-2-4;0.000
T38-2-6;0.000
T42-1-5;68.240
T42-1-6;16.700
T42-2-4;7.256
T42-2-6;58.265
T43-1-5;8.997
T43-1-6;0.000
T45-1-1;7.741
T45-1-4;1.201
T45-2-5;2.072
T45-2-6;44.332
T46-1-4;0.000
T46-1-5;1.274
T46-2-4;75.369
T46-2-6;9.527
T47-1-3;0.000
T47-1-4;35.794
T47-2-1;96.827
T47-2-5;6.633
T50-1-5;7.022
T50-1-6;47.254
T50-2-4;7.150
T50-2-6;6.876
T51-1-5;1.763
T52-1-5;1.155
T51-1-6;17.617
T51-2-1;0.920
T51-2-5;0.000
T52-1-6;5.371
T52-2-5;12.165
T52-2-6;17.382
T53-1-3;1.907
T53-1-4;4.847
T54-1-5;3.473
T54-1-6;13.626
T54-2-5;11.103
T54-2-6;41.093
T56-1-4;0.000
T56-1-6;0.000
T56-2-4;0.000
T56-2-6;1.018
T60-1-4;1.947
T60-1-5;40.307
T60-2-4;3.170
T60-2-5;0.497
T61-1-5;6.855
T61-1-6;11.672
T61-2-4;10.980
T61-2-5;0.000
T64-1-5;0.651
T64-1-6;6.521
T64-2-5;7.136
T64-2-6;3.189
T65-1-2;5.051
T65-1-3;8.190
T65-2-2;4.910
T65-2-3;27.410
T66-1-5;3.003
T66-1-6;32.709
T66-2-4;1.952
T66-2-5;11.034
T67-1-5;1.181
T67-1-6;0.875
T67-2-5;1.584
T67-2-6;5.013
