sampleID;SampleType
T10-1-5;FMS
T10-2-3;FMS
T11-1-6;FMS
T11-2-6;FMS
T12-1-6;FMS
T12-2-6;FMS
T13-1-2;FMS
T13-2-4;FMS
T14-1-4;FMS
T14-2-3;FMS
T15-1-6;FMS
T16-1-6;FMS
T16-2-6;FMS
T17-1-4;FMS
T17-2-4;FMS
T18-1-6;FMS
T18-2-6;FMS
T19-1-5;FMS
T19-2-6;FMS
T21-1-1;FSSD
T21-2-5;FMS
T22-1-4;FMS
T22-2-4;FMS
T23-1-6;FMS
T23-2-6;FMS
T24-1-5;FMS
T24-2-4;FMS
T26-1-4;FMS
T26-2-6;FMS
T29-1-6;FMS
T29-2-4;FMS
T31-1-4;FMS
T31-2-6;FMS
T33-1-4;FMS
T33-2-4;FMS
T34-1-6;FMS
T34-2-6;FMS
T35-1-4;FMS
T35-2-4;FMS
T37-1-5;FMS
T37-2-6;FMS
T38-1-6;FMS
T38-2-6;FMS
T42-1-5;FSSD
T42-2-6;FMS
T43-1-6;FMS
T45-1-1;FSSD
T45-2-6;FMS
T46-1-5;FMS
T46-2-6;FMS
T47-1-4;FMS
T47-2-1;FSSD
T50-1-6;FMS
T50-2-6;FMS
T51-1-6;FMS
T51-2-1;FSSD
T52-1-6;FMS
T52-2-6;FMS
T53-1-4;FMS
T54-1-6;FMS
T54-2-5;FSSD
T56-1-6;FMS
T56-2-6;FMS
T60-1-5;FMS
T60-2-5;FMS
T61-1-6;FMS
T61-2-5;FMS
T64-1-6;FMS
T64-2-6;FMS
T65-1-3;FMS
T65-2-3;FMS
T66-1-6;FMS
T66-2-5;FMS
T67-1-6;FMS
T67-2-6;FMS
T10-1-4;BefSleep
T10-2-2;BefSleep
T11-1-5;BefSleep
T11-2-4;BefSleep
T12-1-5;BefSleep
T12-2-5;BefSleep
T13-1-1;BefSleep
T13-2-2;BefSleep
T14-1-3;BefSleep
T14-2-2;BefSleep
T15-1-3;BefSleep
T16-1-5;BefSleep
T16-2-5;BefSleep
T17-1-3;BefSleep
T17-2-3;BefSleep
T18-1-5;BefSleep
T18-2-5;BefSleep
T19-1-4;BefSleep
T19-2-5;BefSleep
T21-1-3;BefSleep
T21-2-4;BefSleep
T22-1-2;BefSleep
T22-2-3;BefSleep
T23-1-5;BefSleep
T23-2-5;BefSleep
T24-1-4;BefSleep
T24-2-3;BefSleep
T26-1-3;BefSleep
T26-2-5;BefSleep
T29-1-4;BefSleep
T29-2-2;BefSleep
T31-1-3;BefSleep
T31-2-5;BefSleep
T33-1-3;BefSleep
T33-2-3;BefSleep
T34-1-5;BefSleep
T34-2-5;BefSleep
T35-1-3;BefSleep
T35-2-3;BefSleep
T37-1-4;BefSleep
T37-2-5;BefSleep
T38-1-4;BefSleep
T38-2-4;BefSleep
T42-1-6;BefSleep
T42-2-4;BefSleep
T43-1-5;BefSleep
T45-1-4;BefSleep
T45-2-5;BefSleep
T46-1-4;BefSleep
T46-2-4;BefSleep
T47-1-3;BefSleep
T47-2-5;BefSleep
T50-1-5;BefSleep
T50-2-4;BefSleep
T51-1-5;BefSleep
T51-2-5;BefSleep
T52-1-5;BefSleep
T52-2-5;BefSleep
T53-1-3;BefSleep
T54-1-5;BefSleep
T54-2-6;BefSleep
T56-1-4;BefSleep
T56-2-4;BefSleep
T60-1-4;BefSleep
T60-2-4;BefSleep
T61-1-5;BefSleep
T61-2-4;BefSleep
T64-1-5;BefSleep
T64-2-5;BefSleep
T65-1-2;BefSleep
T65-2-2;BefSleep
T66-1-5;BefSleep
T66-2-4;BefSleep
T67-1-5;BefSleep
T67-2-5;BefSleep
